internalTaxonId,scientificName,name,language,main
22692311,Rallina canningi,Andaman Crake,English,TRUE
22717197,Eremopterix australis,Black-eared Sparrow-Lark,English,FALSE
22717197,Eremopterix australis,Alouette-moineau à oreillons noirs,French,FALSE
22717197,Eremopterix australis,Black-eared Sparrow-lark,English,TRUE
22678795,Ptilopachus nahani,Francolin de Nahan,French,FALSE
22678795,Ptilopachus nahani,Nahan's Partridge,English,TRUE
22689704,Nyctiprogne vielliardi,Bahian Nighthawk,English,FALSE
22689704,Nyctiprogne vielliardi,Bahian Nighthawk,English,TRUE
22690549,Macropygia rufipennis,Andaman Cuckoo-dove,English,FALSE
22690549,Macropygia rufipennis,Andaman Cuckoo-Dove,English,TRUE
22680910,Campethera notata,Pic tigré,French,FALSE
22680910,Campethera notata,Knysna Woodpecker,English,TRUE
22725493,Ninox spilonotus,Romblon Boobook,English,TRUE
45449328,Athene granti,Guadalcanal Boobook,English,FALSE
45449328,Athene granti,Guadalcanal Owl,English,TRUE
22689420,Ninox affinis,Andaman Hawk-Owl,English,FALSE
22689420,Ninox affinis,Nínox de Andamán,Spanish; Castilian,FALSE
22689420,Ninox affinis,Andaman Boobook,English,TRUE
22684184,Coua verreauxi,Coua de Verreaux,French,FALSE
22684184,Coua verreauxi,Verreaux's Coua,English,TRUE
22692000,Eupodotis caerulescens,Blue Korhaan,English,FALSE
22692000,Eupodotis caerulescens,Outarde plombée,French,FALSE
22692000,Eupodotis caerulescens,Sisón Azul,Spanish; Castilian,FALSE
22692000,Eupodotis caerulescens,Sisón Azulado,Spanish; Castilian,FALSE
22692000,Eupodotis caerulescens,Blue Bustard,English,TRUE
22724585,Otus moheliensis,Moheli Scops Owl,English,FALSE
22724585,Otus moheliensis,Autillo de Moheli,Spanish; Castilian,FALSE
22724585,Otus moheliensis,Moheli Scops-owl,English,TRUE
22687939,Eriocnemis mirabilis,Colorful Puffleg,English,FALSE
22687939,Eriocnemis mirabilis,Calzadito Admirable,Spanish; Castilian,FALSE
22687939,Eriocnemis mirabilis,Colorful Puffleg,English,TRUE
22699031,Todirostrum viridanum,Maracaibo Tody-Flycatcher,English,FALSE
22699031,Todirostrum viridanum,Maracaibo Tody-flycatcher,English,TRUE
22724610,Herpsilochmus gentryi,Ancient Antwren,English,TRUE
22702334,Synallaxis tithys,Blackish-headed Spinetail,English,TRUE
22702344,Synallaxis hellmayri,Red-shouldered Spinetail,English,TRUE
22686296,Amazona brasiliensis,Red-tailed Parrot,English,FALSE
22686296,Amazona brasiliensis,Amazona Colirroja,Spanish; Castilian,FALSE
22686296,Amazona brasiliensis,Loro Cariazul,Spanish; Castilian,FALSE
22686296,Amazona brasiliensis,Papagayo de Cara Roja,Spanish; Castilian,FALSE
22686296,Amazona brasiliensis,Red-tailed Amazon,English,TRUE
22707901,Batis minima,Verreaux's Batis,English,FALSE
22707901,Batis minima,Gobemouche soyeux à tête grise,French,FALSE
22707901,Batis minima,Gabon Batis,English,TRUE
22706626,Malindangia mcgregori,McGregor's Cuckoo-shrike,English,FALSE
22706626,Malindangia mcgregori,McGregor's Cuckooshrike,English,TRUE
22707747,Malaconotus alius,Uluguru Bush-shrike,English,FALSE
22707747,Malaconotus alius,Uluguru Bush Shrike,English,FALSE
22707747,Malaconotus alius,Gladiateur à tête noire,French,FALSE
22707747,Malaconotus alius,Uluguru Bushshrike,English,TRUE
22706140,Semioptera wallacii,Standardwing,English,FALSE
22706140,Semioptera wallacii,Wallace's Standardwing,English,FALSE
22706140,Semioptera wallacii,Standardwing Bird-of-paradise,English,TRUE
22714852,Acrocephalus brevipennis,Cape Verde Cane Warbler,English,FALSE
22714852,Acrocephalus brevipennis,Cape Verde Islands Cane Warbler,English,FALSE
22714852,Acrocephalus brevipennis,Cape Verde Swamp-Warbler,English,FALSE
22714852,Acrocephalus brevipennis,Cape Verde Warbler,English,FALSE
22714852,Acrocephalus brevipennis,Rousserolle des Iles du Cap-Vert,French,FALSE
22714852,Acrocephalus brevipennis,tchinchirote,"Creoles and pidgins, Portuguese-based (Other)",FALSE
22714852,Acrocephalus brevipennis,tchota-de-cana,"Creoles and pidgins, Portuguese-based (Other)",FALSE
22714852,Acrocephalus brevipennis,Cape Verde Swamp-warbler,English,TRUE
22709415,Ficedula nigrorufa,Black-and-rufous Flycatcher,English,FALSE
22709415,Ficedula nigrorufa,Black-and-orange Flycatcher,English,TRUE
22709449,Eumyias albicaudatus,Nilgiri Flycatcher,English,TRUE
22716655,Kupeornis gilberti,White-throated Mountain Babbler,English,FALSE
22716655,Kupeornis gilberti,White-throated Mountain-Babbler,English,FALSE
22716655,Kupeornis gilberti,Timalie à gorge blanche,French,FALSE
22716655,Kupeornis gilberti,White-throated Mountain-babbler,English,TRUE
22717481,Dicaeum proprium,Whiskered Flowerpecker,English,TRUE
22717831,Cinnyris ursulae,Ursula's Mouse-coloured Sunbird,English,FALSE
22717831,Cinnyris ursulae,Nectarin d'Ursula,French,FALSE
22717831,Cinnyris ursulae,Ursula's Sunbird,English,TRUE
22720278,Crithagra melanochroa,Kipengere Seedeater,English,TRUE
22691061,Pampusana rubescens,Marquesan Ground Dove,English,FALSE
22691061,Pampusana rubescens,Marquesan Ground-Dove,English,FALSE
22691061,Pampusana rubescens,Marquesas Ground-dove,English,FALSE
22691061,Pampusana rubescens,Marquesas Ground Dove,English,TRUE
103894787,Copsychus albiventris,Andaman Shama,English,TRUE
22707002,Dicrurus andamanensis,Andaman Drongo,English,TRUE
22705852,Dendrocitta bayleii,Andaman Treepie,English,TRUE
22681379,Dryocopus hodgei,Andaman Woodpecker,English,TRUE
22690112,Columba trocaz,Long-toed Pigeon,English,FALSE
22690112,Columba trocaz,Trocaz Pigeon,English,FALSE
22690112,Columba trocaz,Madeira Laurel-pigeon,English,TRUE
22690152,Columba pollenii,Comoro Olive-Pigeon,English,FALSE
22690152,Columba pollenii,Comoros Olive Pigeon,English,FALSE
22690152,Columba pollenii,Comoros Rameron Pigeon,English,FALSE
22690152,Columba pollenii,Pigeon des Comores,French,FALSE
22690152,Columba pollenii,Comoro Olive-pigeon,English,TRUE
22691594,Alectroenas sganzini,Comoro Blue Pigeon,English,FALSE
22691594,Alectroenas sganzini,Comoro Blue-Pigeon,English,FALSE
22691594,Alectroenas sganzini,Comoros Blue Pigeon,English,FALSE
22691594,Alectroenas sganzini,Founingo des Comores,French,FALSE
22691594,Alectroenas sganzini,Comoro Blue-pigeon,English,TRUE
