internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
22710101,Phoenicurus bicolor,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MUSCICAPIDAE,Phoenicurus,bicolor,,,,,"(Ogilvie-Grant, 1894)","<p><em>Phoenicurus bicolor </em>(del Hoyo and Collar 2016) was previously placed in the genus <em>Rhyacornis </em>following Sibley &amp; Monroe (1990, 1993).</p>  <p>&#160;</p>"
22698246,Puffinus opisthomelas,ANIMALIA,CHORDATA,AVES,PROCELLARIIFORMES,PROCELLARIIDAE,Puffinus,opisthomelas,,,,,"Coues, 1864",
22684795,Cacatua haematuropygia,ANIMALIA,CHORDATA,AVES,PSITTACIFORMES,CACATUIDAE,Cacatua,haematuropygia,,,,,"(Müller, 1776)","Birds of Polillo, supposedly larger, occasionally separated as subspecies <em>mcgregori</em>, but doubtfully valid. Monotypic."
22698738,Sarcophanops steerii,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,EURYLAIMIDAE,Sarcophanops,steerii,,,,,"(Sharpe, 1876)",<p><em>Sarcophanops steerii</em> (del Hoyo and Collar 2016) was previously listed as <em>Eurylaimus steerii.</em></p>  <p>&#160;</p>
22693190,Numenius arquata,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,SCOLOPACIDAE,Numenius,arquata,,,,,"(Linnaeus, 1758)",
22697604,Pelecanus philippensis,ANIMALIA,CHORDATA,AVES,PELECANIFORMES,PELECANIDAE,Pelecanus,philippensis,,,,,"Gmelin, 1789",
22693604,Esacus recurvirostris,ANIMALIA,CHORDATA,AVES,CHARADRIIFORMES,BURHINIDAE,Esacus,recurvirostris,,,,,"(Cuvier, 1829)",
22692303,Rallicula mayri,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Rallicula,mayri,,,,,"Hartert, 1930",<em>Rallicula mayri</em>&#160;(del Hoyo and Collar 2014)&#160;was previously placed in the genus <em>Rallina</em>.
22718134,Melanocharis arfakiana,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,MELANOCHARITIDAE,Melanocharis,arfakiana,,,,,"(Finsch, 1900)",
22689568,Aegotheles wallacii,ANIMALIA,CHORDATA,AVES,CAPRIMULGIFORMES,AEGOTHELIDAE,Aegotheles,wallacii,,,,,"Gray, 1859",
22678114,Casuarius unappendiculatus,ANIMALIA,CHORDATA,AVES,STRUTHIONIFORMES,CASUARIIDAE,Casuarius,unappendiculatus,,,,,"Blyth, 1860",
22721182,Spizella wortheni,ANIMALIA,CHORDATA,AVES,PASSERIFORMES,PASSERELLIDAE,Spizella,wortheni,,,,,"Ridgway, 1884",
22683282,Todiramphus nigrocyaneus,ANIMALIA,CHORDATA,AVES,CORACIIFORMES,ALCEDINIDAE,Todiramphus,nigrocyaneus,,,,,"(Wallace, 1862)",
22692785,Megacrex inepta,ANIMALIA,CHORDATA,AVES,GRUIFORMES,RALLIDAE,Megacrex,inepta,,,,,"d'Albertis &amp; Salvadori, 1879",
22683935,Cacomantis aeruginosus,ANIMALIA,CHORDATA,AVES,CUCULIFORMES,CUCULIDAE,Cacomantis,aeruginosus,,,,,"Salvadori, 1878",<em>Cacomantis aeruginosus</em> (del Hoyo and Collar 2014) was previously listed as <em>C. heinrichi</em>; the name <em>aeruginosus</em> has priority.
22695991,Morphnus guianensis,ANIMALIA,CHORDATA,AVES,ACCIPITRIFORMES,ACCIPITRIDAE,Morphnus,guianensis,,,,,"(Daudin, 1800)",
22690201,Columba palumboides,ANIMALIA,CHORDATA,AVES,COLUMBIFORMES,COLUMBIDAE,Columba,palumboides,,,,,"(Hume, 1873)",
